Term	odds_ratio	Category	SampleID	CpGType	pvalue	EnrichType	-log10(Pval)
ACGC	 1.099	Tetranuc4	Clark2018_Argelaguet2019	Negative	7.77e-137	Enrich	26.0
MBD1	 1.095	TFBSrm	Clark2018_Argelaguet2019	Negative	1.45e-50	Enrich	26.0
GCGA	 1.054	Tetranuc4	Clark2018_Argelaguet2019	Negative	3.86e-36	Enrich	26.0
MECP2	 1.063	TFBSrm	Clark2018_Argelaguet2019	Negative	7.71e-29	Enrich	26.0
SCGW	 1.025	Tetranuc2	Clark2018_Argelaguet2019	Negative	2.3499999999999997e-23	Enrich	26.0
PromoterFlankingRegion	 1.042	EnsRegBuild	Clark2018_Argelaguet2019	Negative	1.2800000000000001e-22	Enrich	26.0
5	 1.062	nFlankCG	Clark2018_Argelaguet2019	Negative	3.38e-22	Enrich	26.0
H3K9me2	 1.063	HM	Clark2018_Argelaguet2019	Negative	5.37e-22	Enrich	26.0
commonPMD	 1.032	PMD	Clark2018_Argelaguet2019	Negative	2.49e-20	Enrich	26.0
KMT2B-D	 1.099	TFBSrm	Clark2018_Argelaguet2019	Negative	6.01e-19	Enrich	26.0
MBD4	 1.180	TFBSrm	Clark2018_Argelaguet2019	Negative	1.6e-18	Enrich	26.0
DNMT3A	 1.059	TFBS	Clark2018_Argelaguet2019	Negative	7.96e-15	Enrich	26.0
CTCFBindingSite	 1.055	EnsRegBuild	Clark2018_Argelaguet2019	Negative	1.24e-14	Enrich	26.0
H3.1	 1.085	HM	Clark2018_Argelaguet2019	Negative	5.12e-14	Enrich	26.0
ASH2L	 1.046	TFBSrm	Clark2018_Argelaguet2019	Negative	9.61e-14	Enrich	26.0
QuiesG	 1.028	ChromHMM	Clark2018_Argelaguet2019	Negative	1.27e-13	Enrich	26.0
4	 1.037	nFlankCG	Clark2018_Argelaguet2019	Negative	3.19e-13	Enrich	26.0
CBX1	 1.049	TFBSrm	Clark2018_Argelaguet2019	Negative	6.26e-13	Enrich	26.0
DNMT3A	 1.071	TFBSrm	Clark2018_Argelaguet2019	Negative	1.09e-12	Enrich	26.0
3	 1.028	nFlankCG	Clark2018_Argelaguet2019	Negative	2.11e-12	Enrich	26.0
6	 1.054	nFlankCG	Clark2018_Argelaguet2019	Negative	9.22e-12	Enrich	26.0
ZFP281	 1.034	TFBS	Clark2018_Argelaguet2019	Negative	1.2e-11	Enrich	26.0
PRDM14	 1.079	TFBS	Clark2018_Argelaguet2019	Negative	4e-11	Enrich	26.0
TBP	 1.049	TFBS	Clark2018_Argelaguet2019	Negative	4.34e-11	Enrich	26.0
TFCP2	 1.134	TFBS	Clark2018_Argelaguet2019	Negative	7.2e-11	Enrich	26.0
PHC1	 1.057	TFBS	Clark2018_Argelaguet2019	Negative	1.34e-10	Enrich	26.0
DMRT1	 1.101	TFBSrm	Clark2018_Argelaguet2019	Negative	2.45e-10	Enrich	26.0
NFYB	 1.151	TFBSrm	Clark2018_Argelaguet2019	Negative	3.07e-10	Enrich	26.0
PRDM14	 1.082	TFBSrm	Clark2018_Argelaguet2019	Negative	5.03e-10	Enrich	26.0
NFYB	 1.153	TFBS	Clark2018_Argelaguet2019	Negative	6.59e-10	Enrich	26.0
PR	 1.041	TFBS	Clark2018_Argelaguet2019	Negative	1.7e-09	Enrich	26.0
SCGS	 1.018	Tetranuc2	Clark2018_Argelaguet2019	Negative	2e-09	Enrich	26.0
NFYC	 1.149	TFBS	Clark2018_Argelaguet2019	Negative	2.36e-09	Enrich	26.0
ZBTB16	 1.057	TFBSrm	Clark2018_Argelaguet2019	Negative	3.82e-09	Enrich	26.0
PRDM9	 1.032	TFBS	Clark2018_Argelaguet2019	Negative	4e-09	Enrich	26.0
ASH2L	 1.044	TFBS	Clark2018_Argelaguet2019	Negative	5.38e-09	Enrich	26.0
7	 1.055	nFlankCG	Clark2018_Argelaguet2019	Negative	6.25e-09	Enrich	26.0
RAD23B	 1.049	TFBSrm	Clark2018_Argelaguet2019	Negative	7.41e-09	Enrich	26.0
NFYA	 1.086	TFBSrm	Clark2018_Argelaguet2019	Negative	1e-08	Enrich	26.0
H2Aub1	 1.028	HM	Clark2018_Argelaguet2019	Negative	1.83e-08	Enrich	26.0
USF1	 1.170	TFBS	Clark2018_Argelaguet2019	Negative	2.23e-08	Enrich	26.0
DMRT1	 1.092	TFBS	Clark2018_Argelaguet2019	Negative	2.38e-08	Enrich	26.0
